epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,31538.1,0.90499,0.50256,0.9537,0.86263,0.74126,0.81994,0.54711,0.96368,0.49524,0.97464,0.000802,0.000802,0.000802
62,32054.7,0.90052,0.49789,0.95341,0.85424,0.7436,0.82152,0.54704,0.9599,0.4986,0.96797,0.0007987,0.0007987,0.0007987
63,32572.3,0.88937,0.49191,0.95025,0.87535,0.74748,0.82663,0.54877,0.95826,0.48448,0.96699,0.0007954,0.0007954,0.0007954
64,33088.7,0.89609,0.49228,0.94951,0.85089,0.76494,0.83052,0.55388,0.9673,0.49684,0.97221,0.0007921,0.0007921,0.0007921
65,33605.3,0.89719,0.49607,0.95446,0.84236,0.76767,0.82377,0.54584,0.96043,0.48793,0.97125,0.0007888,0.0007888,0.0007888
66,34119,0.88862,0.4862,0.94619,0.85777,0.75518,0.82527,0.55235,0.95387,0.48448,0.96842,0.0007855,0.0007855,0.0007855
67,34632.6,0.88315,0.48785,0.94492,0.85669,0.75951,0.82757,0.54855,0.95996,0.49114,0.97024,0.0007822,0.0007822,0.0007822
68,35147,0.8856,0.48587,0.94492,0.88024,0.74633,0.83008,0.55678,0.94705,0.47918,0.9622,0.0007789,0.0007789,0.0007789
69,35664.5,0.87164,0.47768,0.9466,0.879,0.76644,0.83651,0.56048,0.95157,0.47899,0.96439,0.0007756,0.0007756,0.0007756
70,36181.8,0.86355,0.47026,0.93774,0.84908,0.78166,0.83447,0.56307,0.94802,0.47744,0.96415,0.0007723,0.0007723,0.0007723
71,36698.9,0.86763,0.47283,0.94088,0.84735,0.78091,0.8401,0.56277,0.93978,0.47133,0.95982,0.000769,0.000769,0.000769
72,37216.8,0.86618,0.47512,0.94066,0.87688,0.76404,0.84143,0.56959,0.9477,0.47145,0.96258,0.0007657,0.0007657,0.0007657
73,37735,0.87019,0.4797,0.94138,0.84659,0.78545,0.84294,0.56728,0.94712,0.4747,0.96867,0.0007624,0.0007624,0.0007624
74,38249.2,0.87411,0.47817,0.93754,0.87674,0.77028,0.84334,0.56703,0.94596,0.46996,0.9637,0.0007591,0.0007591,0.0007591
75,38764.8,0.85916,0.46912,0.93348,0.85723,0.77335,0.84407,0.57046,0.93386,0.4631,0.95822,0.0007558,0.0007558,0.0007558
76,39283.5,0.85759,0.46868,0.93834,0.86049,0.77121,0.83831,0.5702,0.94386,0.46597,0.96144,0.0007525,0.0007525,0.0007525
77,39797.5,0.85619,0.46566,0.9356,0.85522,0.78158,0.84504,0.56832,0.93921,0.46495,0.96098,0.0007492,0.0007492,0.0007492
78,40311.6,0.85183,0.4612,0.93502,0.87978,0.77388,0.84514,0.57134,0.93207,0.46236,0.95789,0.0007459,0.0007459,0.0007459
79,40830.6,0.84084,0.46153,0.92916,0.87331,0.77999,0.84907,0.57304,0.94085,0.46351,0.96367,0.0007426,0.0007426,0.0007426
80,41348.1,0.8546,0.466,0.93165,0.87629,0.78127,0.85056,0.57763,0.93542,0.46111,0.95922,0.0007393,0.0007393,0.0007393
81,41866.5,0.83587,0.45315,0.92759,0.87434,0.77616,0.85083,0.57631,0.93745,0.46088,0.96004,0.000736,0.000736,0.000736
82,42380.1,0.83531,0.45115,0.92705,0.8581,0.7971,0.85192,0.57967,0.93463,0.45865,0.95943,0.0007327,0.0007327,0.0007327
83,42897.1,0.84196,0.45328,0.92726,0.86491,0.78728,0.84114,0.56107,0.93871,0.4622,0.96009,0.0007294,0.0007294,0.0007294
84,43411.2,0.83161,0.44912,0.92717,0.88072,0.78281,0.84642,0.575,0.93067,0.45392,0.95466,0.0007261,0.0007261,0.0007261
85,43923.8,0.83302,0.45416,0.92605,0.86978,0.78821,0.85286,0.58005,0.9368,0.4599,0.95948,0.0007228,0.0007228,0.0007228
86,44438.5,0.83787,0.45216,0.9305,0.88739,0.79488,0.86064,0.58388,0.93285,0.45316,0.95755,0.0007195,0.0007195,0.0007195
87,44953.6,0.81878,0.44641,0.92188,0.88873,0.7923,0.85712,0.57937,0.92604,0.45298,0.95486,0.0007162,0.0007162,0.0007162
88,45466.5,0.82559,0.44474,0.9213,0.88047,0.78704,0.85296,0.58283,0.93006,0.45441,0.95453,0.0007129,0.0007129,0.0007129
89,45980.5,0.81876,0.44598,0.92162,0.86311,0.78656,0.85244,0.57872,0.93043,0.45306,0.95678,0.0007096,0.0007096,0.0007096
90,46493.4,0.82108,0.44538,0.92465,0.87709,0.78301,0.84977,0.58463,0.92299,0.45073,0.95377,0.0007063,0.0007063,0.0007063
91,47005.4,0.82709,0.44761,0.92394,0.88002,0.78773,0.85602,0.58205,0.92252,0.4485,0.9524,0.000703,0.000703,0.000703
92,47518.4,0.81443,0.44357,0.92242,0.86779,0.79084,0.86022,0.58065,0.92406,0.45086,0.95222,0.0006997,0.0006997,0.0006997
93,48031.9,0.80844,0.43811,0.91604,0.88074,0.77059,0.85556,0.57442,0.92753,0.44982,0.95625,0.0006964,0.0006964,0.0006964
94,48546.3,0.81236,0.43399,0.91566,0.86248,0.79281,0.85848,0.58486,0.92057,0.44547,0.95357,0.0006931,0.0006931,0.0006931
95,49063.9,0.80775,0.43322,0.91855,0.87918,0.78128,0.85411,0.58677,0.91808,0.44394,0.95097,0.0006898,0.0006898,0.0006898
96,49582.1,0.81297,0.43844,0.91807,0.88428,0.78901,0.85756,0.58479,0.92252,0.44803,0.9538,0.0006865,0.0006865,0.0006865
97,50095.7,0.80934,0.43695,0.91574,0.88319,0.78354,0.85183,0.58278,0.91593,0.44368,0.94934,0.0006832,0.0006832,0.0006832
98,50610.2,0.7941,0.42719,0.91448,0.88807,0.79459,0.86451,0.58928,0.91564,0.44109,0.94946,0.0006799,0.0006799,0.0006799
99,51127.5,0.79622,0.42759,0.9135,0.87669,0.80538,0.86332,0.59106,0.91535,0.44255,0.953,0.0006766,0.0006766,0.0006766
100,51644.9,0.79733,0.42939,0.91537,0.88047,0.79866,0.86089,0.5864,0.91478,0.44234,0.95219,0.0006733,0.0006733,0.0006733
101,52159.5,0.80406,0.43306,0.91527,0.88719,0.78752,0.85897,0.58482,0.92145,0.44617,0.95345,0.00067,0.00067,0.00067
102,52673.6,0.79471,0.42534,0.91414,0.8761,0.80245,0.86514,0.58581,0.92054,0.44307,0.95186,0.0006667,0.0006667,0.0006667
103,53187.2,0.79094,0.42574,0.91228,0.86716,0.80435,0.85996,0.58692,0.91542,0.43807,0.95086,0.0006634,0.0006634,0.0006634
104,53703,0.79676,0.42592,0.91185,0.86513,0.80898,0.86441,0.59223,0.91442,0.44289,0.95185,0.0006601,0.0006601,0.0006601
105,54220.4,0.79137,0.42487,0.91148,0.88238,0.81122,0.86651,0.5922,0.9162,0.43907,0.95466,0.0006568,0.0006568,0.0006568
106,54739.1,0.78614,0.4209,0.91144,0.87174,0.79918,0.86112,0.58647,0.91975,0.43974,0.95648,0.0006535,0.0006535,0.0006535
107,55254,0.78244,0.42094,0.91005,0.88404,0.79568,0.8641,0.59017,0.91942,0.43931,0.95533,0.0006502,0.0006502,0.0006502
108,55767.9,0.7841,0.42021,0.90874,0.88301,0.79217,0.8609,0.58978,0.91589,0.43893,0.95397,0.0006469,0.0006469,0.0006469
109,56282.1,0.78599,0.42021,0.90881,0.88492,0.8071,0.86465,0.59007,0.91943,0.43524,0.95555,0.0006436,0.0006436,0.0006436
110,56796.1,0.77485,0.41681,0.90977,0.90017,0.79765,0.86693,0.59463,0.91647,0.43817,0.95605,0.0006403,0.0006403,0.0006403
111,57314.4,0.78166,0.41961,0.90859,0.88796,0.80277,0.861,0.58991,0.91942,0.43637,0.95475,0.000637,0.000637,0.000637
112,57829.6,0.77091,0.41044,0.9028,0.87494,0.80604,0.86561,0.59509,0.91503,0.43314,0.95313,0.0006337,0.0006337,0.0006337
113,58347.7,0.76622,0.41019,0.90585,0.89747,0.79771,0.86807,0.59599,0.91776,0.43555,0.95643,0.0006304,0.0006304,0.0006304
114,58865.2,0.76908,0.4113,0.90527,0.88617,0.80678,0.86569,0.59683,0.91712,0.43405,0.95431,0.0006271,0.0006271,0.0006271
