epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,200015,0.92648,0.39025,1.18843,0.95474,0.95857,0.9824,0.70684,1.12728,0.38982,1.44849,0.0006601,0.0006601,0.0006601
105,201922,0.91586,0.38405,1.18118,0.95436,0.9588,0.98221,0.70713,1.12739,0.38968,1.44892,0.0006568,0.0006568,0.0006568
106,203829,0.92568,0.39191,1.1911,0.95503,0.9581,0.98243,0.70732,1.12768,0.3897,1.44951,0.0006535,0.0006535,0.0006535
107,205735,0.90983,0.38258,1.17783,0.95589,0.95762,0.98254,0.70735,1.12792,0.38938,1.45019,0.0006502,0.0006502,0.0006502
108,207640,0.91428,0.38571,1.18385,0.95662,0.95811,0.98269,0.7073,1.12821,0.38934,1.4508,0.0006469,0.0006469,0.0006469
109,209543,0.91294,0.3835,1.18158,0.95675,0.95853,0.98272,0.70726,1.12842,0.3892,1.45129,0.0006436,0.0006436,0.0006436
110,211447,0.90939,0.38205,1.17864,0.95698,0.95876,0.98269,0.70756,1.12851,0.3889,1.45162,0.0006403,0.0006403,0.0006403
111,213354,0.90386,0.37873,1.17515,0.95687,0.95868,0.98266,0.70785,1.12861,0.38882,1.452,0.000637,0.000637,0.000637
112,215259,0.90149,0.38124,1.17373,0.95709,0.95892,0.98263,0.70766,1.12865,0.38878,1.45252,0.0006337,0.0006337,0.0006337
113,217160,0.9037,0.38004,1.17855,0.95715,0.95892,0.98267,0.70726,1.12861,0.38865,1.45292,0.0006304,0.0006304,0.0006304
114,219062,0.89801,0.37477,1.17406,0.95699,0.95896,0.98259,0.70751,1.12854,0.38832,1.45313,0.0006271,0.0006271,0.0006271
115,220966,0.89572,0.37814,1.17106,0.95622,0.95936,0.98271,0.70796,1.12863,0.38829,1.45366,0.0006238,0.0006238,0.0006238
116,222875,0.89559,0.37724,1.17281,0.95633,0.95933,0.98247,0.70783,1.12884,0.38843,1.45423,0.0006205,0.0006205,0.0006205
